,Basic_set,Rest_set,similar distance
0,Kartaview_Dataset/Basic_set/3270777_fbb04_5fb954f36c7b0.jpg,Kartaview_Dataset/Rest_set/3270717_342e8_5fb9547a432e3.jpg,0.942888
1,Kartaview_Dataset/Basic_set/4442793_3f0e6_61f492718618e.jpg,Kartaview_Dataset/Rest_set/1165737_23eeb_5ad36b191c35f.jpg,0.930858
2,Kartaview_Dataset/Basic_set/4442793_fefb8_61f4924d228c3.jpg,Kartaview_Dataset/Rest_set/3548729_cb020_608da00519129.jpg,0.924435
3,Kartaview_Dataset/Basic_set/3681045_79c2a90149507087d95ea7b005bdcd58.jpg,Kartaview_Dataset/Rest_set/3681029_89f13701ecb123397f6486084006a1c5.jpg,0.924067
4,Kartaview_Dataset/Basic_set/3270777_b2e98_5fb95546c7a24.jpg,Kartaview_Dataset/Rest_set/3270717_342e8_5fb9547a432e3.jpg,0.919923
5,Kartaview_Dataset/Basic_set/4442793_48a14_61f492e0bad9f.jpg,Kartaview_Dataset/Rest_set/1165737_8b106_5ad36b173c5ee.jpg,0.918666
6,Kartaview_Dataset/Basic_set/3659221_b3688_60c3ec3a2837f.jpg,Kartaview_Dataset/Rest_set/2988882_d0486_5f552a39ee1c2.jpg,0.918415
7,Kartaview_Dataset/Basic_set/3681045_13ee6e0afd015f9ec85afcaa821b53c3.jpg,Kartaview_Dataset/Rest_set/3681029_0ededdf49faebe0c395d56640f2772ab.jpg,0.917445
8,Kartaview_Dataset/Basic_set/3659221_b2121_60c3ecc15088e.jpg,Kartaview_Dataset/Rest_set/367210_5f433_59284291ed303.jpg,0.916657
9,Kartaview_Dataset/Basic_set/4442793_281d3_61f492ccda756.jpg,Kartaview_Dataset/Rest_set/3459513_10ed3_604c7387ad6a4.jpg,0.915881
10,Kartaview_Dataset/Basic_set/3659221_2511b_60c3ec45811c2.jpg,Kartaview_Dataset/Rest_set/2988882_e0797_5f5527d54feeb.jpg,0.9145
11,Kartaview_Dataset/Basic_set/4442793_48a14_61f492e0bad9f.jpg,Kartaview_Dataset/Rest_set/1360360_9876c_5c9f7acc2c1c0.jpg,0.914038
12,Kartaview_Dataset/Basic_set/3681045_6474daf04a3466bf57cbdde5720a4017.jpg,Kartaview_Dataset/Rest_set/3681029_89f13701ecb123397f6486084006a1c5.jpg,0.912569
13,Kartaview_Dataset/Basic_set/3270777_c5ebf_5fb955128143d.jpg,Kartaview_Dataset/Rest_set/3270717_342e8_5fb9547a432e3.jpg,0.91044
14,Kartaview_Dataset/Basic_set/3681045_1df4d69b3b3baac337825d01af0fe442.jpg,Kartaview_Dataset/Rest_set/3681029_a748ef6d081edabcf88c2ca566f32fd4.jpg,0.909971
15,Kartaview_Dataset/Basic_set/4442793_d2553_61f492c76edc5.jpg,Kartaview_Dataset/Rest_set/1360360_b21f0_5c9f7acaf094a.jpg,0.909843
16,Kartaview_Dataset/Basic_set/4442793_cede1_61f49340cb520.jpg,Kartaview_Dataset/Rest_set/1165737_80c6c_5ad36add34d25.jpg,0.90961
17,Kartaview_Dataset/Basic_set/3659221_ac70e_60c3ec9033747.jpg,Kartaview_Dataset/Rest_set/3459513_981ec_604c732cb9284.jpg,0.908063
18,Kartaview_Dataset/Basic_set/4442793_4644e_61f4916623ae0.jpg,Kartaview_Dataset/Rest_set/1360360_1f9ff_5c9f7ac8c1902.jpg,0.906926
19,Kartaview_Dataset/Basic_set/4442793_60716_61f49217e7849.jpg,Kartaview_Dataset/Rest_set/3548729_5cfb5_608da00bbce93.jpg,0.906184
20,Kartaview_Dataset/Basic_set/4442793_5d03f_61f4935a749d6.jpg,Kartaview_Dataset/Rest_set/1360360_b21f0_5c9f7acaf094a.jpg,0.905367
21,Kartaview_Dataset/Basic_set/3659221_4289f_60c3ec3ae2a5a.jpg,Kartaview_Dataset/Rest_set/1165737_25250_5ad36b1b318c3.jpg,0.905051
22,Kartaview_Dataset/Basic_set/4442793_85170_61f49158a6629.jpg,Kartaview_Dataset/Rest_set/3461317_a158a_604d61db67919.jpg,0.901084
23,Kartaview_Dataset/Basic_set/4442793_8aa99_61f491df052ca.jpg,Kartaview_Dataset/Rest_set/1165737_b0bd4_5ad36ad56ebf6.jpg,0.900623
