,filepath,uniqueness
516,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2865162_257c1_5f2a09e9300df.jpg,1.0
247,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2865162_7e40f_5f2a0e5605bf1.jpg,0.9804927624422044
77,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1165737_a9524_5ad36b060e565.jpg,0.9447735408291109
25,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2865162_4b7ce_5f2a09ee9a932.jpg,0.9340316273965554
194,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/3659221_e15d6_60c3ec27323e7.jpg,0.8866266121115571
261,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235221_ccae7_5fabfd3232d4a.jpg,0.884893577474474
57,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/367210_56b29_592842911ec3f.jpg,0.8571813635315444
10,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1360360_45fca_5c9f7adba9b08.jpg,0.8333875953424522
509,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912930_8c147_5f36bfe85ac83.jpg,0.833279537822957
553,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235221_28025_5fabfcf7b8a51.jpg,0.8293686444338108
581,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3176546_c3244_5f9280fcebf7f.jpg,0.824072363371007
500,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912930_b0ff3_5f36c00dd5f48.jpg,0.8227517404318009
484,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459853_9e2fb_604c9cc31c44e.jpg,0.8202302399372823
407,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2993674_1b919_5f56f0298bc04.jpg,0.819404345201907
441,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3176546_d094a_5f927fece1ef4.jpg,0.8160939273829659
514,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2865162_eb063_5f2a0dc5de664.jpg,0.7986333538531759
468,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/367210_b2c17_5928429e9f3ff.jpg,0.7981335258897079
517,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2865162_183e9_5f2a0c027941e.jpg,0.7807269244458678
598,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1360360_d3afb_5c9f7aeb3378c.jpg,0.7723806582952257
487,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_60b8d_604c9d3d0a5ff.jpg,0.7721151646102049
204,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3461317_35dbf_604d61dd1e147.jpg,0.7718395025654623
577,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1165737_70796_5ad36b15b2e44.jpg,0.7695904874625321
283,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1360360_b21f0_5c9f7acaf094a.jpg,0.7687983715125158
13,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912930_a249c_5f36bfed1f6f8.jpg,0.7674854965890978
557,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2865162_1b3e4_5f2a0c966bd0d.jpg,0.7652740861969946
294,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912930_60ec3_5f36bfd736682.jpg,0.764690476517914
316,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/4442793_66c4a_61f4929d80b6f.jpg,0.7578859056636766
569,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/367210_73939_592842b55b6bf.jpg,0.7507320861943262
239,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2865162_cf0de_5f2a0d9ad8a27.jpg,0.7493512789209688
397,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/4442793_7d4f7_61f491b1c23d3.jpg,0.7482241341149489
505,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912930_aefc4_5f36bfe4ec208.jpg,0.7472817890515107
570,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235221_7e887_5fabfd6d39714.jpg,0.7456730321031924
568,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2865162_a98a9_5f2a0f09b395b.jpg,0.7414370242220341
436,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2993674_717ec_5f56f57d6e091.jpg,0.741015301266685
530,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912930_42ed8_5f36bfe02bd02.jpg,0.7367263989150751
411,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1165737_26900_5ad36b1442608.jpg,0.731774349786142
313,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2993674_b6c9c_5f56ef4166c78.jpg,0.7309463196338108
374,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2993674_49758_5f56f00fb0071.jpg,0.7267528366187999
539,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912930_c200b_5f36bfe391f92.jpg,0.7253747638151125
492,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1165737_d7f0e_5ad36ae9dc79c.jpg,0.7251763197059111
39,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3229409_09f0b_5fa98eca051ee.jpg,0.7248180644820134
590,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1169139_9238b_5add00605cec3.jpg,0.7224697968916889
83,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235221_5755a_5fabfd2b4f30e.jpg,0.7219323391724985
589,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912930_8b96c_5f36bfdb66235.jpg,0.721896239021744
549,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912930_4fc8c_5f36bfe187f7c.jpg,0.7202476387907113
241,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1165737_3a072_5ad36aefd18a0.jpg,0.7179928017520376
176,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235221_0800a_5fabfdcdf1bfc.jpg,0.7174937865695963
273,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2865162_b91b5_5f2a0ad99ba94.jpg,0.7173678335078554
382,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459853_607fe_604c9cc106e5e.jpg,0.7170897562537549
542,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/3659221_fff5a_60c3ec25b08b5.jpg,0.7158819131214921
59,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2993674_634a8_5f56ef3e772f0.jpg,0.7157503224359251
325,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2993674_ef82e_5f56ef7546a30.jpg,0.7143182949258255
527,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912930_c5084_5f36bfe240bd2.jpg,0.7126723848078746
291,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459513_10ed3_604c7387ad6a4.jpg,0.7117984131440026
582,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459513_981ec_604c732cb9284.jpg,0.7110226179448894
533,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912930_031a3_5f36bfdf7b41c.jpg,0.7104846641637429
404,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1165737_3278f_5ad36af8e1846.jpg,0.7086506131568635
323,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235221_0739e_5fabfd390cc1b.jpg,0.7063696498240476
499,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235221_35021_5fabfd5c099d9.jpg,0.7054808106022854
268,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1169139_d7e5c_5add00d6d01f1.jpg,0.7051438985253968
519,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1165737_6357b_5ad36b1670d93.jpg,0.70422376031248
472,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1169139_bc93a_5add00a52d6f8.jpg,0.7022855899935686
193,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912930_cf07b_5f36bfc2cdd67.jpg,0.7022823577127099
538,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912930_82599_5f36bfe0d1ed0.jpg,0.7010058518656833
392,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1169139_9263f_5add004f35c5c.jpg,0.7006266147355841
297,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/4442793_48e44_61f49341282eb.jpg,0.7003748894760364
473,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2865162_51546_5f2a0b6bed8e0.jpg,0.6998202122412835
594,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/4442793_fa706_61f491cd31101.jpg,0.6990052781965276
572,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1169139_ea920_5add0043d9775.jpg,0.6989397143528443
545,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/4442793_30268_61f492be63eb0.jpg,0.6986534473169773
221,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235221_5af5e_5fabfd3772223.jpg,0.6981200975695617
566,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2865162_4b4fe_5f2a0b5d9d4ae.jpg,0.6975492850423671
266,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235221_9c8cf_5fabfd02b6faa.jpg,0.6965302383527873
84,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2988882_72e17_5f552228aadd2.jpg,0.6958564354313762
235,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/3659221_8a589_60c3ec1ab3ea1.jpg,0.6930052267430936
365,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3458109_66eec_604c211246c87.jpg,0.6927253766686348
592,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1360360_cf5d3_5c9f7ac8868b9.jpg,0.6925259728553325
547,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459513_f348d_604c733fa1116.jpg,0.6918276698553797
252,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1169139_776e6_5add0055e15c1.jpg,0.6916426081260926
355,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2865162_62f7d_5f2a0d898de3c.jpg,0.6880502654897587
367,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/4442793_5d03f_61f4935a749d6.jpg,0.6855142130136629
